gene_biotype	gene_name	strand	chrom	gc_content	length
ENSG00000101812	protein_coding	H2BW2	+	X	47.5680636280208	2498
ENSG00000101825	protein_coding	MXRA5	-	X	50.2957976336189	38087
ENSG00000101842	protein_coding	VSIG1	+	X	43.2713001645778	34214
ENSG00000101843	protein_coding	PSMD10	-	X	42.752799870151	7342
ENSG00000101844	protein_coding	ATG4A	+	X	42.6242038216561	63003
ENSG00000101846	protein_coding	STS	+	X	44.7419696041864	657121
ENSG00000101849	protein_coding	TBL1X	+	X	50.3541687568978	277717
ENSG00000101850	protein_coding	GPR143	-	X	52.7205882352941	60951
ENSG00000101856	protein_coding	PGRMC1	+	X	43.6967865970887	8221
ENSG00000101868	protein_coding	POLA1	+	X	41.7221000185514	303113
ENSG00000101871	protein_coding	MID1	-	X	44.3177349587102	388344
ENSG00000101882	protein_coding	NKAP	-	X	42.0828149991114	23079
ENSG00000101883	protein_coding	RHOXF1	-	X	56.760374832664	6862
ENSG00000101888	protein_coding	NXT2	+	X	36.5910333515582	8917
ENSG00000101890	protein_coding	GUCY2F	-	X	47.0761802575107	109180
ENSG00000101892	protein_coding	ATP1B4	+	X	42.8151165422041	21164
ENSG00000101898	protein_coding	MCTS2P	+	20	44.4776119402985	669
ENSG00000101901	protein_coding	ALG13	+	X	43.2440051739577	94838
ENSG00000101911	protein_coding	PRPS2	+	X	46.8868703550785	32867
ENSG00000101916	protein_coding	TLR8	+	X	39.707239878676	16549
ENSG00000101928	protein_coding	MOSPD1	-	X	38.7053371206458	27625
ENSG00000101935	protein_coding	AMMECR1	-	X	40.6872509960159	246132
ENSG00000101938	protein_coding	CHRDL1	-	X	44.7328931572629	121963
ENSG00000101940	protein_coding	WDR13	+	X	59.350147693706	18827
ENSG00000101945	protein_coding	SUV39H1	+	X	57.7507598784195	13462
ENSG00000101951	protein_coding	PAGE4	+	X	46.0489618841029	5004
ENSG00000101955	protein_coding	SRPX	-	X	49.311327475659	71588
ENSG00000101958	protein_coding	GLRA2	+	X	42.2485476705775	202514
ENSG00000101966	protein_coding	XIAP	+	X	40.1821247892074	54252
ENSG00000101972	protein_coding	STAG2	+	X	38.7699268690482	462452
ENSG00000101974	protein_coding	ATP11C	-	X	38.3904250928601	218930
ENSG00000101977	protein_coding	MCF2	-	X	38.2571769495332	126457
ENSG00000101981	protein_coding	F9	+	X	39.9371563236449	32720
ENSG00000101986	protein_coding	ABCD1	+	X	64.2256678498039	19899
ENSG00000101997	protein_coding	CCDC22	+	X	62.279792746114	15050
ENSG00000102001	protein_coding	CACNA1F	-	X	55.948406676783	28308
ENSG00000102003	protein_coding	SYP	-	X	57.5155925155925	12384
ENSG00000102007	protein_coding	PLP2	+	X	51.7701683110853	3337
ENSG00000102010	protein_coding	BMX	+	X	42.6504363803399	92283
ENSG00000102021	protein_coding	LUZP4	+	X	40.6921241050119	17848
ENSG00000102024	protein_coding	PLS3	+	X	40.1415338588113	89687
ENSG00000102030	protein_coding	NAA10	-	X	58.9462930531232	5855
ENSG00000102032	protein_coding	RENBP	-	X	61.6639271715767	9418
ENSG00000102034	protein_coding	ELF4	-	X	54.7719065516987	46761
ENSG00000102038	protein_coding	SMARCA1	-	X	40.2948839412601	76999
ENSG00000102043	protein_coding	MTMR8	-	X	45.6847203874945	127371
ENSG00000102048	protein_coding	ASB9	-	X	48.4569099378882	35179
ENSG00000102053	protein_coding	ZC3H12B	+	X	42.7976123437324	141249
ENSG00000102054	protein_coding	RBBP7	-	X	44.509791653632	31079
ENSG00000102055	protein_coding	PPP1R2C	-	X	49.6240601503759	797
ENSG00000102057	protein_coding	KCND1	-	X	56.5134782092388	10466
ENSG00000102076	protein_coding	OPN1LW	+	X	56.8487727632621	14789
ENSG00000102078	protein_coding	SLC25A14	+	X	45.1637964521559	33473
ENSG00000102081	protein_coding	FMR1	+	X	40.1288308490525	39206
ENSG00000102096	protein_coding	PIM2	-	X	54.5676998368679	5842
ENSG00000102098	protein_coding	SCML2	-	X	38.9598985266855	115375
ENSG00000102100	protein_coding	SLC35A2	-	X	58.101286435434	8778
ENSG00000102103	protein_coding	PQBP1	+	X	58.2006599895791	12946
ENSG00000102104	protein_coding	RS1	-	X	50.5494505494505	32420
ENSG00000102109	protein_coding	PCSK1N	-	X	69.0896259703599	4514
ENSG00000102119	protein_coding	EMD	+	X	57.786078098472	2301
ENSG00000102125	protein_coding	TAZ	+	X	59.8695267580717	10202
ENSG00000102128	protein_coding	RAB40AL	+	X	56.6569484936832	1028
ENSG00000102144	protein_coding	PGK1	+	X	43.6209246252228	218556
ENSG00000102145	protein_coding	GATA1	+	X	60.3434816549571	7749
ENSG00000102158	protein_coding	MAGT1	-	X	40.3284323085736	69846
ENSG00000102172	protein_coding	SMS	+	X	48.9990689013035	54128
ENSG00000102174	protein_coding	PHEX	+	X	41.6801913385154	462388
ENSG00000102178	protein_coding	UBL4A	-	X	60.1629766297663	2898
ENSG00000102181	protein_coding	CD99L2	-	X	54.8087021755439	132480
ENSG00000102189	protein_coding	EEA1	-	12	38.1063498797907	158694
ENSG00000102195	protein_coding	GPR50	+	X	55.1980198019802	4881
ENSG00000102218	protein_coding	RP2	+	X	35.1621621621622	45315
ENSG00000102221	protein_coding	JADE3	+	X	45.2261772339637	148966
ENSG00000102225	protein_coding	CDK16	+	X	57.8184395335352	12137
ENSG00000102226	protein_coding	USP11	+	X	56.4566696243715	15462
ENSG00000102230	protein_coding	PCYT1B	-	X	48.1475787855496	114590
ENSG00000102239	protein_coding	BRS3	+	X	39.8485394879192	5833
ENSG00000102241	protein_coding	HTATSF1	+	X	46.3084603258014	15267
ENSG00000102243	protein_coding	VGLL1	+	X	48.9354151880766	24592
ENSG00000102245	protein_coding	CD40LG	+	X	44.3729003359462	12232
ENSG00000102265	protein_coding	TIMP1	+	X	57.8225335668418	4381
ENSG00000102271	protein_coding	KLHL4	+	X	40.6110971207924	152641
ENSG00000102287	protein_coding	GABRE	-	X	48.7036277925804	21556
ENSG00000102290	protein_coding	PCDH11X	+	X	40.600923047942	843969
ENSG00000102302	protein_coding	FGD1	-	X	62.1690075984343	50780
ENSG00000102309	protein_coding	PIN4	+	X	43.9539521392313	121573
ENSG00000102312	protein_coding	PORCN	+	X	57.8615111461827	11855
ENSG00000102313	protein_coding	ITIH6	-	X	52.4012806830309	49337
ENSG00000102316	protein_coding	MAGED2	+	X	54.4774940773888	8416
ENSG00000102317	protein_coding	RBM3	+	X	48.9921813356287	6713
ENSG00000102349	protein_coding	KLF8	+	X	42.4002071934993	59175
ENSG00000102359	protein_coding	SRPX2	+	X	48.7838639509591	31593
ENSG00000102362	protein_coding	SYTL4	-	X	46.3608705827288	57632
ENSG00000102383	protein_coding	ZDHHC15	-	X	40.0272239570822	155075
ENSG00000102384	protein_coding	CENPI	+	X	41.2985239270894	67938
ENSG00000102385	protein_coding	DRP2	+	X	50.3497405151017	44733
ENSG00000102387	protein_coding	TAF7L	-	X	41.852745926373	24804
ENSG00000102390	protein_coding	PBDC1	+	X	43.7557816836263	5274
ENSG00000102393	protein_coding	GLA	-	X	46.8287681265563	14739
ENSG00000102401	protein_coding	ARMCX3	+	X	44.5335331584863	5046
ENSG00000102409	protein_coding	BEX4	+	X	43.6921783010934	2138
ENSG00000102445	protein_coding	RUBCNL	-	13	45.1875530041099	103509
ENSG00000102452	protein_coding	NALCN	-	13	43.9433762161664	362732
ENSG00000102466	protein_coding	FGF14	-	13	37.5046334049967	691653
ENSG00000102468	protein_coding	HTR2A	-	13	38.3397719777631	65530
ENSG00000102471	protein_coding	NDFIP2	+	13	35.455962168843	74951
ENSG00000102524	protein_coding	TNFSF13B	+	13	39.3826135105205	57244
ENSG00000102531	protein_coding	FNDC3A	+	13	38.9988530837249	233867
ENSG00000102539	protein_coding	MLNR	+	13	66.8280871670702	2039
ENSG00000102543	protein_coding	CDADC1	+	13	44.2966671882335	45560
ENSG00000102547	protein_coding	CAB39L	-	13	42.5027767493521	135414
ENSG00000102554	protein_coding	KLF5	+	13	43.5276861019435	22565
ENSG00000102572	protein_coding	STK24	-	13	49.6711829490532	132755
ENSG00000102575	protein_coding	ACP5	-	19	60.8674605479717	4348
ENSG00000102580	protein_coding	DNAJC3	+	13	40.3026834541524	117849
ENSG00000102595	protein_coding	UGGT2	-	13	38.5636623748212	251902
ENSG00000102606	protein_coding	ARHGEF7	+	13	49.7592728113084	191178
ENSG00000102678	protein_coding	FGF9	+	13	41.8612757058208	33425
ENSG00000102683	protein_coding	SGCG	+	13	45.1693851944793	144183
ENSG00000102699	protein_coding	PARP4	-	13	44.7849056603774	91847
ENSG00000102710	protein_coding	SUPT20H	-	13	41.2989720713732	50401
ENSG00000102738	protein_coding	MRPS31	-	13	39.1911983348201	42062
ENSG00000102743	protein_coding	SLC25A15	+	13	49.8653651969034	23048
ENSG00000102753	protein_coding	KPNA3	-	13	38.3783783783784	93362
ENSG00000102755	protein_coding	FLT1	-	13	44.0428022069888	194799
ENSG00000102760	protein_coding	RGCC	+	13	52.2064945878435	13321
ENSG00000102763	protein_coding	VWA8	-	13	43.5453291968287	394285
ENSG00000102780	protein_coding	DGKH	+	13	40.8532931568765	216542
ENSG00000102781	protein_coding	KATNAL1	-	13	40.4809619238477	104921
ENSG00000102786	protein_coding	INTS6	-	13	39.1033825824365	100187
ENSG00000102794	protein_coding	ACOD1	+	13	47.4787935909519	10127
ENSG00000102796	protein_coding	DHRS12	-	13	52.9441675989017	36170
ENSG00000102802	protein_coding	MEDAG	+	13	49.198250728863	19301
ENSG00000102804	protein_coding	TSC22D1	-	13	45.1225592023265	145004
ENSG00000102805	protein_coding	CLN5	+	13	40.5170831957136	28483
ENSG00000102837	protein_coding	OLFM4	+	13	42.3144565599719	23244
ENSG00000102854	protein_coding	MSLN	+	16	64.9839051582005	8131
ENSG00000102858	protein_coding	MGRN1	+	16	61.4050466470478	74481
ENSG00000102870	protein_coding	ZNF629	-	16	57.2250534275851	8749
ENSG00000102871	protein_coding	TRADD	-	16	64.3128321943812	5724
ENSG00000102878	protein_coding	HSF4	+	16	63.1033355134075	5264
ENSG00000102879	protein_coding	CORO1A	+	16	63.0482002482416	6249
ENSG00000102882	protein_coding	MAPK3	-	16	60.7240715909753	9401
ENSG00000102886	protein_coding	GDPD3	-	16	56.5639269406393	8727
ENSG00000102890	protein_coding	ELMO3	+	16	62.2069703182102	4918
ENSG00000102891	protein_coding	MT4	+	16	57.7777777777778	3884
ENSG00000102893	protein_coding	PHKB	+	16	41.4918970448046	240400
ENSG00000102897	protein_coding	LYRM1	+	16	46.5759603097046	25138
ENSG00000102898	protein_coding	NUTF2	+	16	52.0892274211099	25644
ENSG00000102900	protein_coding	NUP93	+	16	48.6187498035765	120168
ENSG00000102901	protein_coding	CENPT	-	16	59.0483495556496	19654
ENSG00000102904	protein_coding	TSNAXIP1	+	16	55.486279000721	25383
ENSG00000102908	protein_coding	NFAT5	+	16	40.4629754974956	139572
ENSG00000102910	protein_coding	LONP2	+	16	44.9137499431068	118822
ENSG00000102921	protein_coding	N4BP1	-	16	48.0797700949229	81422
ENSG00000102924	protein_coding	CBLN1	-	16	56.7212301587302	3921
ENSG00000102931	protein_coding	ARL2BP	+	16	44.4551128180509	8376
ENSG00000102934	protein_coding	PLLP	-	16	50.6280101992634	36125
ENSG00000102935	protein_coding	ZNF423	-	16	56.5218705601403	370395
ENSG00000102962	protein_coding	CCL22	+	16	52.8282482002057	7406
ENSG00000102967	protein_coding	DHODH	+	16	53.0682185580343	19076
ENSG00000102970	protein_coding	CCL17	+	16	58.4048027444254	11296
ENSG00000102974	protein_coding	CTCF	+	16	45.933270555217	76710
ENSG00000102977	protein_coding	ACD	-	16	62.7427898763979	3303
ENSG00000102978	protein_coding	POLR2C	+	16	53.099431424213	9349
ENSG00000102981	protein_coding	PARD6A	+	16	63.6124595469256	1828
ENSG00000102984	protein_coding	ZNF821	-	16	56.9138576779026	35656
ENSG00000102996	protein_coding	MMP15	+	16	64.8379052369077	21147
ENSG00000103005	protein_coding	USB1	+	16	54.6728971962617	22072
ENSG00000103018	protein_coding	CYB5B	+	16	42.0363288718929	41645
ENSG00000103021	protein_coding	CCDC113	+	16	48.4627329192547	52679
ENSG00000103023	protein_coding	PRSS54	-	16	50.7175773535221	15050
ENSG00000103024	protein_coding	NME3	-	16	67.7415792379901	1241
ENSG00000103034	protein_coding	NDRG4	+	16	59.0792349290922	50782
ENSG00000103035	protein_coding	PSMD7	+	16	47.0219966159052	9474
ENSG00000103037	protein_coding	SETD6	+	16	51.3964912280702	8363
ENSG00000103042	protein_coding	SLC38A7	-	16	56.8720173535792	19661
ENSG00000103043	protein_coding	VAC14	-	16	58.7840649053464	113721
ENSG00000103044	protein_coding	HAS3	+	16	55.0575132371736	13066
ENSG00000103047	protein_coding	TANGO6	+	16	49.4757594766556	241651
ENSG00000103051	protein_coding	COG4	-	16	53.0928865608381	42992
ENSG00000103056	protein_coding	SMPD3	-	16	61.3277534715617	90181
ENSG00000103061	protein_coding	SLC7A6OS	-	16	48.6893903024484	26443
ENSG00000103064	protein_coding	SLC7A6	+	16	48.5765666067229	37307
ENSG00000103066	protein_coding	PLA2G15	+	16	59.1952812302507	15754
ENSG00000103067	protein_coding	ESRP2	-	16	57.6135199726869	9069
ENSG00000103089	protein_coding	FA2H	-	16	59.314650791346	61876
ENSG00000103091	protein_coding	WDR59	-	16	50.9736224278415	128811
ENSG00000103111	protein_coding	MON1B	+	16	56.5627350031816	11563
ENSG00000103121	protein_coding	CMC2	-	16	42.862623240112	53822
ENSG00000103126	protein_coding	AXIN1	-	16	63.8231715560362	65283
ENSG00000103145	protein_coding	HCFC1R1	-	16	64.5576480151741	1661
ENSG00000103148	protein_coding	NPRL3	-	16	60.9112825458052	54406
ENSG00000103150	protein_coding	MLYCD	+	16	54.6123167762988	52330
ENSG00000103152	protein_coding	MPG	+	16	63.4277134277134	8844
ENSG00000103154	protein_coding	NECAB2	+	16	62.0485798740522	34532
ENSG00000103160	protein_coding	HSDL1	-	16	43.9292364990689	23051
ENSG00000103168	protein_coding	TAF1C	-	16	62.6549586776859	9223
ENSG00000103174	protein_coding	NAGPA	-	16	61.8684717801587	9297
ENSG00000103175	protein_coding	WFDC1	+	16	51.9237465181059	34998
ENSG00000103184	protein_coding	SEC14L5	+	16	55.3767269619712	60827
ENSG00000103187	protein_coding	COTL1	-	16	54.0463490895715	52482
ENSG00000103194	protein_coding	USP10	+	16	47.6310026173815	79936
ENSG00000103196	protein_coding	CRISPLD2	+	16	55.7570645297343	100783
ENSG00000103197	protein_coding	TSC2	+	16	60.5965310946814	41524
ENSG00000103199	protein_coding	ZNF500	-	16	60.1860334014516	19385
ENSG00000103200	processed_pseudogene		-	7	70.3389830508475	471
ENSG00000103202	protein_coding	NME4	+	16	61.9946886987312	13642
ENSG00000103222	protein_coding	ABCC1	+	16	54.5030067209056	194119
ENSG00000103226	protein_coding	NOMO3	+	16	51.8143736751792	68300
ENSG00000103227	protein_coding	LMF1	-	16	62.2742293241592	127684
ENSG00000103241	protein_coding	FOXF1	+	16	51.1647727272727	4895
ENSG00000103245	protein_coding	CIAO3	-	16	61.5886318090727	11569
ENSG00000103248	protein_coding	MTHFSD	-	16	54.9937633642195	25057
ENSG00000103249	protein_coding	CLCN7	-	16	63.9661426844015	30150
ENSG00000103253	protein_coding	HAGHL	+	16	68.3239154210718	8589
ENSG00000103254	protein_coding	ANTKMT	+	16	71.6241004656413	2009
ENSG00000103257	protein_coding	SLC7A5	-	16	60.4142075329971	39484
ENSG00000103260	protein_coding	METRN	+	16	68.0522059866648	4537
ENSG00000103264	protein_coding	FBXO31	-	16	59.2122572158168	65155
ENSG00000103266	protein_coding	STUB1	+	16	64.0711343313574	2646
ENSG00000103269	protein_coding	RHBDL1	+	16	66.4869888475836	2597
ENSG00000103274	protein_coding	NUBP1	+	16	54.0564504211615	25565
ENSG00000103275	protein_coding	UBE2I	+	16	56.7421609298501	18138
ENSG00000103310	protein_coding	ZP2	-	16	48.8539620170269	17060
ENSG00000103313	protein_coding	MEFV	-	16	55.3350113104151	14606
ENSG00000103316	protein_coding	CRYM	-	16	53.020692523656	64209
ENSG00000103319	protein_coding	EEF2K	+	16	52.1172040047763	82460
ENSG00000103326	protein_coding	CAPN15	+	16	68.4217955957086	26924
ENSG00000103335	protein_coding	PIEZO1	-	16	61.7879634452389	69882
ENSG00000103342	protein_coding	GSPT1	-	16	43.2768675367953	47954
ENSG00000103343	protein_coding	ZNF174	+	16	52.0203336809176	8149
ENSG00000103351	protein_coding	CLUAP1	+	16	46.3222659497811	38072
ENSG00000103353	protein_coding	UBFD1	+	16	49.2378504393568	16668
ENSG00000103355	protein_coding	PRSS33	-	16	64.2923711889229	3995
ENSG00000103356	protein_coding	EARS2	-	16	54.0782374100719	36977
ENSG00000103363	protein_coding	ELOB	-	16	60.3396901072706	5866
ENSG00000103365	protein_coding	GGA2	-	16	51.8728651652869	58453
ENSG00000103375	protein_coding	AQP8	+	16	58.8235294117647	13201
ENSG00000103381	protein_coding	CPPED1	-	16	44.6613846444067	144088
ENSG00000103404	protein_coding	USP31	-	16	46.8902146334773	88046
ENSG00000103415	protein_coding	HMOX2	+	16	56.4625240804623	35657
ENSG00000103423	protein_coding	DNAJA3	+	16	53.3473906167633	30970
ENSG00000103426	protein_coding	CORO7-PAM16	-	16	63.9428644962038	80243
ENSG00000103429	protein_coding	BFAR	+	16	48.0784012298232	36305
ENSG00000103449	protein_coding	SALL1	-	16	51.2159947558178	15392
ENSG00000103460	protein_coding	TOX3	-	16	44.0992311960054	111385
ENSG00000103472	lncRNA	RRN3P2	+	16	44.32	41742
ENSG00000103479	protein_coding	RBL2	+	16	41.978011739495	57671
ENSG00000103485	protein_coding	QPRT	+	16	58.0667789001122	35420
ENSG00000103489	protein_coding	XYLT1	-	16	52.1247662757097	369191
ENSG00000103490	protein_coding	PYCARD	-	16	62.5617283950617	1964
ENSG00000103494	protein_coding	RPGRIP1L	-	16	39.1349492748689	105785
ENSG00000103495	protein_coding	MAZ	+	16	63.0947849257708	5058
ENSG00000103496	protein_coding	STX4	+	16	58.5295026258882	10086
ENSG00000103502	protein_coding	CDIPT	-	16	60.3172334952844	5057
ENSG00000103507	protein_coding	BCKDK	+	16	61.8390030313237	6684
ENSG00000103510	protein_coding	KAT8	+	16	56.0362653093685	16904
ENSG00000103512	protein_coding	NOMO1	+	16	51.358996433403	62436
ENSG00000103522	protein_coding	IL21R	+	16	57.9884625031352	49868
ENSG00000103528	protein_coding	SYT17	+	16	52.2347116285294	100361
ENSG00000103534	protein_coding	TMC5	+	16	47.0410905039649	88617
ENSG00000103540	protein_coding	CCP110	+	16	38.6205501618123	29597
ENSG00000103544	protein_coding	VPS35L	+	16	48.5378472612754	151553
ENSG00000103546	protein_coding	SLC6A2	+	16	51.504329004329	51657
ENSG00000103549	protein_coding	RNF40	+	16	60.0885358487444	14562
ENSG00000103550	protein_coding	KNOP1	-	16	50.1768758145597	16298
ENSG00000103569	protein_coding	AQP9	+	15	44.4019012410879	47742
ENSG00000103591	protein_coding	AAGAB	-	15	44.3187456584301	54528
ENSG00000103599	protein_coding	IQCH	+	15	41.4797911089656	247474
ENSG00000103642	protein_coding	LACTB	+	15	42.5689655172414	20228
ENSG00000103647	protein_coding	CORO2B	+	15	56.3655148662611	148813
ENSG00000103653	protein_coding	CSK	+	15	61.0701345755694	21117
ENSG00000103657	protein_coding	HERC1	-	15	47.1409325649278	225330
ENSG00000103671	protein_coding	TRIP4	+	15	45.1010254848208	67555
ENSG00000103707	protein_coding	MTFMT	-	15	45.9489593657086	28127
ENSG00000103710	protein_coding	RASL12	-	15	59.7332802547771	23353
ENSG00000103723	protein_coding	AP3B2	-	15	56.168003054601	50831
ENSG00000103740	protein_coding	ACSBG1	-	15	53.5456542202698	78220
ENSG00000103742	protein_coding	IGDCC4	-	15	54.9644970414201	41463
ENSG00000103769	protein_coding	RAB11A	+	15	40.9423690632626	165935
ENSG00000103811	protein_coding	CTSH	-	15	54.9013705421964	28516
ENSG00000103832	unprocessed_pseudogene	GOLGA8UP	+	15	52.5356125356125	10286
ENSG00000103852	protein_coding	TTC23	-	15	48.0769230769231	114900
ENSG00000103855	protein_coding	CD276	+	15	60.8717248230473	30548
ENSG00000103876	protein_coding	FAH	+	15	53.3229283873544	34456
ENSG00000103888	protein_coding	CEMIP	+	15	53.1863059366585	172433
ENSG00000103932	protein_coding	RPAP1	-	15	58.2591305175944	27093
ENSG00000103942	protein_coding	HOMER2	-	15	46.6164627131053	149207
ENSG00000103966	protein_coding	EHD4	-	15	52.9467567888059	76624
ENSG00000103978	protein_coding	TMEM87A	-	15	40.6843628129324	63137
ENSG00000103994	protein_coding	ZNF106	-	15	44.9487588248691	78318
ENSG00000103995	protein_coding	CEP152	-	15	41.4318281030218	98218
ENSG00000104043	protein_coding	ATP8B4	-	15	40.6349743688945	324579
ENSG00000104044	protein_coding	OCA2	-	15	53.4874952871685	344440
ENSG00000104047	protein_coding	DTWD1	+	15	38.5726693688477	35195
ENSG00000104055	protein_coding	TGM5	-	15	52.4941255454851	34338
ENSG00000104059	protein_coding	FAM189A1	-	15	59.3261455525606	450727
ENSG00000104064	protein_coding	GABPB1	-	15	42.4213762118704	80019
ENSG00000104067	protein_coding	TJP1	-	15	44.1553658853603	269548
ENSG00000104081	protein_coding	BMF	-	15	56.6310811779036	21002
ENSG00000104093	protein_coding	DMXL2	-	15	40.5706885026738	175122
ENSG00000104112	protein_coding	SCG3	+	15	41.6304872165943	39534
ENSG00000104129	protein_coding	DNAJC17	-	15	55.6618274978651	42317
ENSG00000104131	protein_coding	EIF3J	+	15	38.5087241003272	25904
ENSG00000104133	protein_coding	SPG11	-	15	43.6494181728151	108870
ENSG00000104140	protein_coding	RHOV	-	15	60.5454545454545	2020
ENSG00000104142	protein_coding	VPS18	+	15	59.6240082787168	9525
ENSG00000104147	protein_coding	OIP5	-	15	48.6358244365362	23318
ENSG00000104154	protein_coding	SLC30A4	-	15	41.0016575893914	43149
ENSG00000104164	protein_coding	BLOC1S6	+	15	40.4428950600166	28731
ENSG00000104177	protein_coding	MYEF2	-	15	37.7305693564045	43721
ENSG00000104205	protein_coding	SGK3	+	8	39.0131407188234	149288
ENSG00000104213	protein_coding	PDGFRL	+	8	50.6042296072508	67638
ENSG00000104218	protein_coding	CSPP1	+	8	40.467640746244	134361
ENSG00000104219	protein_coding	ZDHHC2	+	8	36.9068287037037	68317
ENSG00000104221	protein_coding	BRF2	-	8	55.0994764397906	6593
ENSG00000104228	protein_coding	TRIM35	-	8	55.0310559006211	26386
ENSG00000104231	protein_coding	ZFAND1	-	8	39.7533738628034	31569
ENSG00000104237	protein_coding	RP1	+	8	42.8143842450007	362298
ENSG00000104267	protein_coding	CA2	+	8	46.9424869288475	17525
ENSG00000104290	protein_coding	FZD3	+	8	35.2214575613199	80062
ENSG00000104299	protein_coding	INTS9	-	8	51.2801518588824	122581
ENSG00000104312	protein_coding	RIPK2	+	8	44.2297174111212	33258
ENSG00000104313	protein_coding	EYA1	-	8	43.1154893480698	394592
ENSG00000104320	protein_coding	NBN	-	8	37.2277122516204	69897
ENSG00000104321	protein_coding	TRPA1	-	8	39.4387001477105	55667
ENSG00000104324	protein_coding	CPQ	+	8	45.7351290684624	504412
ENSG00000104325	protein_coding	DECR1	+	8	41.5585237703361	52228
ENSG00000104327	protein_coding	CALB1	-	8	38.2830149928117	36867
ENSG00000104331	protein_coding	BPNT2	-	8	40.0361663652803	35936
ENSG00000104332	protein_coding	SFRP1	-	8	47.978889288713	47511
ENSG00000104341	protein_coding	LAPTM4B	+	8	47.7588699810922	77956
ENSG00000104343	protein_coding	UBE2W	-	8	34.9089694337732	98813
ENSG00000104356	protein_coding	POP1	+	8	47.81794137095	42542
ENSG00000104361	protein_coding	NIPAL2	-	8	42.1081941129674	104567
ENSG00000104365	protein_coding	IKBKB	+	8	52.8157610651313	61158
ENSG00000104368	protein_coding	PLAT	-	8	53.6299351797289	32991
ENSG00000104369	protein_coding	JPH1	-	8	50.1102779003088	86840
ENSG00000104371	protein_coding	DKK4	-	8	51.7857142857143	3166
ENSG00000104375	protein_coding	STK3	-	8	39.0264058872142	571599
ENSG00000104381	protein_coding	GDAP1	+	8	40.5794333014963	197394
ENSG00000104388	protein_coding	RAB2A	+	8	39.5660967089539	106708
ENSG00000104408	protein_coding	EIF3E	-	8	38.1575848503616	280709
ENSG00000104412	protein_coding	EMC2	+	8	36.1028027030021	45595
ENSG00000104413	protein_coding	ESRP1	+	8	42.2765122335938	66392
ENSG00000104415	protein_coding	CCN4	+	8	48.958217270195	40651
ENSG00000104419	protein_coding	NDRG1	-	8	55.7425538256942	64847
ENSG00000104427	protein_coding	ZC2HC1A	+	8	35.4726002206694	53676
ENSG00000104432	protein_coding	IL7	-	8	39.5499959385915	129780
ENSG00000104435	protein_coding	STMN2	+	8	44.0827502281716	55041
ENSG00000104442	protein_coding	ARMC1	-	8	41.708430782938	31759
ENSG00000104447	protein_coding	TRPS1	-	8	43.4841240652201	401177
ENSG00000104450	protein_coding	SPAG1	+	8	42.0795588814494	101372
ENSG00000104472	protein_coding	CHRAC1	+	8	44.5570397666206	5843
ENSG00000104490	protein_coding	NCALD	-	8	46.4077112125371	438365
ENSG00000104497	protein_coding	SNX16	-	8	35.6924848833861	43285
ENSG00000104499	protein_coding	GML	+	8	50.9581881533101	82259
ENSG00000104517	protein_coding	UBR5	-	8	44.1129307852054	160486
ENSG00000104518	protein_coding	GSDMD	+	8	64.7861099474003	9855
ENSG00000104522	protein_coding	GFUS	-	8	60.7834877843302	5430
ENSG00000104524	protein_coding	PYCR3	-	8	63.028496926802	6563
ENSG00000104529	protein_coding	EEF1D	-	8	62.4709386108176	19844
ENSG00000104537	protein_coding	ANXA13	-	8	46.4585274930103	56608
ENSG00000104549	protein_coding	SQLE	+	8	42.3807012918534	23786
ENSG00000104611	protein_coding	SH2D4A	+	8	47.5909878682842	82525
ENSG00000104613	protein_coding	INTS10	+	8	45.5361824855794	34692
ENSG00000104626	protein_coding	ERI1	+	8	42.3492761590618	114599
ENSG00000104635	protein_coding	SLC39A14	+	8	51.574846356453	66851
ENSG00000104643	protein_coding	MTMR9	+	8	40.6595790844001	43330
ENSG00000104660	protein_coding	LEPROTL1	+	8	43.0385250891382	81800
ENSG00000104671	protein_coding	DCTN6	+	8	40.7578947368421	27320
ENSG00000104679	protein_coding	R3HCC1	+	8	59.4695115983165	26159
ENSG00000104687	protein_coding	GSR	-	8	49.4681647940075	49780
ENSG00000104689	protein_coding	TNFRSF10A	-	8	51.6904103763555	34650
ENSG00000104691	protein_coding	UBXN8	+	8	44.7302821816731	37875
ENSG00000104695	protein_coding	PPP2CB	-	8	43.6048029235187	39857
ENSG00000104714	protein_coding	ERICH1	-	8	51.2335295766751	123360
ENSG00000104722	protein_coding	NEFM	+	8	53.1319669183747	5340
ENSG00000104723	protein_coding	TUSC3	+	8	41.6768461965575	349434
ENSG00000104728	protein_coding	ARHGEF10	+	8	50.3134679717507	134715
ENSG00000104731	protein_coding	KLHDC4	-	16	58.2138008382032	69507
ENSG00000104738	protein_coding	MCM4	+	8	49.2286037590042	17975
ENSG00000104755	protein_coding	ADAM2	-	8	38.4515735731159	94554
ENSG00000104756	protein_coding	KCTD9	-	8	43.6590824319284	30629
ENSG00000104760	protein_coding	FGL1	-	8	41.2052247776264	45985
ENSG00000104763	protein_coding	ASAH1	-	8	41.3896973680093	29006
ENSG00000104765	protein_coding	BNIP3L	+	8	42.5488180883864	122582
ENSG00000104774	protein_coding	MAN2B1	-	19	59.8140378727747	20231
ENSG00000104783	protein_coding	KCNN4	-	19	59.6882148606287	14724
ENSG00000104804	protein_coding	TULP2	-	19	56.2632696390658	17777
